Attribute1	Attribute2	Attribute3	Class
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
A	95	FALSE	Class2
A	70	FALSE	Class1
B	90	TRUE	Class1
B	78	FALSE	Class1
B	65	TRUE	Class1
B	75	FALSE	Class1
C	80	TRUE	Class2
C	70	TRUE	Class2
C	80	FALSE	Class1
C	80	FALSE	Class1
C	96	FALSE	Class1
A	70	TRUE	Class1
A	90	TRUE	Class2
A	85	FALSE	Class2
